date	winner	loser	where	score
20210507	ARIZ	MICH 	N	4-3
20210507	OKLA	DEN  	N	4-1
20210507	PEPP	UCSB 	N	4-1
20210507	SCAR	UNCW 	H	4-0
20210507	UK  	CLEV 	H	4-1
20210507	ND  	WMU  	N	4-1
20210507	OSU 	VCU  	N	4-1
20210507	A&M 	UNM  	H	4-1
20210507	USC 	GCU  	H	4-0
20210507	ILL 	DEP  	H	4-1
20210507	WAKE	SCST 	H	4-0
20210508	USF 	DUKE 	N	4-2
20210508	STAN	LSU  	N	4-0
20210508	NW  	UCLA 	N	4-1
20210508	MEM 	GT   	N	4-2
20210508	TTU 	VT   	N	4-2
20210508	OKST	NAVY 	N	4-0
20210508	MSST	MIA  	N	4-1
20210508	AZST	WICH 	N	4-3
20210508	ORE 	BAMA 	N	4-3
20210508	FLA 	SALA 	H	4-0
20210508	UVA 	FDU  	H	4-0
20210508	TEX 	NAU  	H	4-0
20210508	TENN	AAMU 	H	5-0
20210508	UGA 	ETSU 	H	4-0
20210508	UNC 	PRES 	H	4-0
20210508	TULN	MTSU 	N	4-0
20210508	UCF 	MONM 	H	4-0
20210508	TCU 	ARK  	H	4-0
20210508	BAY 	TAMCC	H	4-0
20210508	MISS	BEL  	H	4-0
20210508	SCAR	NCST 	H	4-0
20210508	ARIZ	UK   	A	4-2
20210508	ILL 	ND   	H	4-0
20210508	A&M 	OKLA 	H	4-1
20210508	USC 	PEPP 	H	4-2
20210508	OSU 	WAKE 	A	4-1
20210509	MSST	UCF  	A	4-2
20210509	UVA 	STAN 	H	4-2
20210509	TEX 	NW   	H	4-0
20210509	TENN	MEM  	H	4-0
20210509	UGA 	TTU  	H	4-0
20210509	UNC 	OKST 	H	4-0
20210509	FLA 	USF  	H	4-0
20210509	TCU 	AZST 	H	4-1
20210509	MISS	TULN 	H	4-0
20210509	BAY 	ORE  	H	4-0
20210517	TENN	ARIZ 	N	4-3
20210517	UGA 	UNC  	N	4-3
20210517	TCU 	OSU  	N	4-1
