

School:	Austin Peay			
Coach:	Ross Brown	

	Singles	1	2	3	4	5	6	Dual Match Record	Overall Record	
W	L	W	L	W	L	W	L	W	L	W	L	
 1 	Fabienne Schmidt 	10	5											10	5	10	5	
 2 	Danielle Morris 			9	5									9	5	9	5	
 3 	Jana Leder 					12	2							12	2	12	2	
 4 	Aleks Topalovic 							4	3	5	2			9	5	9	5	
 5 	Martina Paladini-Jennings 							3	3	4	4			7	7	7	7	
 6 	Honoka Nakanishi 											7	3	7	3	7	3	
 7 	Ana Albertson 											1	2	1	2	1	2	
 8 																		
 9 																		
 10 																		
 11 																		
 12 																		
 13 																		
 14 																		
 15 																		

	Doubles	1	2	3	Dual Match Record	Overall Record	
W	L	W	L	W	L	
 1 	Fabienne Schmidt	Danielle Morris 	12	2					12	2	12	2	
 2 	Jana Leder	Aleks Topalovic 			7	3			7	3	7	3	
 3 	Honoka Nakanishi	Ana Albertson 					5	6	5	6	5	6	
 4 	Martina Paladini-Jennings			1	0			1	0	1	0	

