matchid	schedtime	matchstatus	team1	player1	team2	player2	score	winner	mtime	id1	id2	matchNum
8774		(completed)  	UNC 	Daavettila, Sara (UNC)       	USD  	Colling, Solymar (USD)     	3,6,6,1,6,3    	1	1:53	400079	493373	401
8775		(completed)  	UCF 	Stolmar, Rebeka (UCF)        	UGA  	Ma, Lea (UGA)              	1,6,4,6        	2	1:14	455036	513316	402
8776		(completed)  	WAKE	Campana, Carolyn (WF)        	ODU  	Starodubsteva, Yulia (ODU) 	0,6,6,4,3,6    	2	3:55	509935	454355	403
8777		(completed)  	PEPP	Failla, Jessica (PEP)        	DEN  	Riedmiller, Anna (DEN)     	7,6,5,7,6,4    	1	2:28	405704	445479	404
8778		(completed)  	FLA 	Kessler, McCartney (UF)      	WASH 	Wong, Vanessa (WA)         	6,3,6,2        	1	1:12	421536	464666	405
8779		(completed)  	DUKE	Chen, Kelly (DUK)            	UCLA 	Hart, Jada (CLA)           	2,6,7,6,1,7,5,0	1	2:53	396686	413959	406
8780		(completed)  	MIA 	Pfennig, Isabella (MIA)      	TEX  	Turati, Anna (TEX)         	3,6,6,1,6,2    	1	2:16	564946	459000	407
8781		(completed)  	FSU 	Salas, Emmanuelle (FSU)      	VANDY	Rosca, Christina (VU)      	5,7,0,3,6      	2	1:30	485585	446912	408
8782		(completed)  	UVA 	Navarro, Emma (UVA)          	CAL  	Giavara, Haley (CAL)       	7,6,3,6,2      	1	1:20	564450	513644	409
8783		(completed)  	AZST	Hattingh, Ilze (ASU)         	SCAR 	Davies, Megan (SC)         	6,3,7,6,3      	1	2:05	414211	400669	410
8784		(completed)  	FUR 	Kozarov, Katarina (FUR)      	STAN 	Gordon, Michaela (STA)     	6,0,6,2        	1	1:02	423350	411023	411
8785		(completed)  	UNC 	Jones, Makenna (UNC)         	UGA  	Kowalski, Meg (UGA)        	2,6,2,6        	2	1:17	419691	487384	412
8786		(completed)  	GT  	Jones, Kenya (GT)            	AUB  	Ovunc, Selin (AU)          	5,7,0,3,6      	2	1:42	419665	514698	413
8787		(completed)  	OKST	Wolfberg, Alana (OKS)        	MIZZ 	Murgett, Bronte (MIZ)      	5,7,0,5,7,0    	2	1:43	513080	526971	414
8788		(completed)  	IOWA	Noel, Alexa (IA)             	NCST 	Smith, Alana (NCS)         	6,4,4,6,7,5,0  	1	2:37	564451	486136	415
8789		(completed)  	LSU 	Corley, Paris (LSU)          	XAV  	Kyle, Ahmeir (XAV)         	6,2,6,7,5,6,3  	1	2:17	486238	424183	416
8790		(completed)  	WAKE	Campana, Anna (WF)           	LSU  	Bridges, Taylor (LSU)      	6,0,6,3        	1	1:26	509929	486239	417
8791		(completed)  	SYR 	Kanapatskaya, Viktoriya (SYR)	OKST 	Thamchaiwat, Bunyawi (OKS) 	6,3,3,6,5,7,0  	2	2:44	564454	497414	418
8792		(completed)  	UNC 	Crawley, Fiona (UNC)         	UMD  	Akli, Ayana (MD)           	5,7,0,5,7,0    	2	2:15	564453	514025	419
8793		(completed)  	NCST	Rogers, Anna (NCS)           	PEPP 	Lahey, Ashley (PEP)        	7,5,0,4,6,6,3  	1	2:26	446522	424436	420
8794		(completed)  	DUKE	Drummy, Georgia (DUK)        	MISS 	Machalova, Sabina (OM)     	4,6,6,4,6,1    	1	2:06	564359	428629	421
8795		(completed)  	GT  	Flores, Victoria (GT)        	MICH 	Miller, Kari (MI)          	4,6,4,6        	2	1:26	407152	564380	422
8796		(completed)  	ARK 	Spink, Indianna (ARK)        	ORE  	Tjen, Janice (ORE)         	2,6,2,6        	2	1:04	561985	565743	423
8797		(completed)  	UGA 	Jokic, Katarina (UGA)        	UCSB 	Khatamova, Shakhnoza (CSB) 	6,1,7,6,5      	1	1:37	419539	510745	424
8798		(completed)  	SCAR	Horvit, Mia (SC)             	VCU  	Delgado, Paola (VCU)       	7,5,0,6,0      	1	1:45	416702	401582	425
8799		(completed)  	FSU 	Pairone, Giulia (FSU)        	MSST 	Antonaki, Emma (MST)       	4,6,4,6        	2	1:17	564449	486811	426
8800		(completed)  	UNC 	Morra, Cameron (UNC)         	OSU  	Cantos Siemers, Irina (OSU)	2,6,3,6        	2	1:23	488643	511553	427
8801		(completed)  	UCLA	Forbes, Abigail (CLA)        	DUKE 	Beck, Chloe (DUK)          	6,3,7,6,5      	1	1:38	512054	514741	428
8802		(completed)  	UNC 	Graham, Alexa (UNC)          	UK   	Parazinskaite, Akvile (UK) 	6,1,6,0        	1	0:50	411298	439682	429
8803		(completed)  	UVA 	Subhash, Natasha (UVA)       	UCF  	Zeleva, Valeriya (UCF)     	5,7,0,6,4,6,1  	1	2:27	511574	497367	430
8804		(completed)  	A&M 	Makarova, Tatiana (TAM)      	TEX  	Stearns, Peyton (TEX)      	2,6,3,6        	2	1:23	514440	562074	431
8805		(completed)  	MIA 	Perez-Somarriba, Estela (MIA)	USC  	Ewing, Salma (USC)         	6,2,6,3        	1	1:27	440887	485966	432
8823		(completed)  	UNC 	Daavettila, Sara (UNC)       	UGA  	Ma, Lea (UGA)              	6,4,6,4        	1	1:41	400079	513316	501
8824		(completed)  	ODU 	Starodubsteva, Yulia (ODU)   	PEPP 	Failla, Jessica (PEP)      	0,6,0,6        	2	1:08	454355	405704	502
8825		(completed)  	FLA 	Kessler, McCartney (UF)      	DUKE 	Chen, Kelly (DUK)          	4,6,4,6        	2	1:38	421536	396686	503
8826		(completed)  	MIA 	Pfennig, Isabella (MIA)      	VANDY	Rosca, Christina (VU)      	6,2,2,6,3,6    	2	2:21	564946	446912	504
8827		(completed)  	UVA 	Navarro, Emma (UVA)          	AZST 	Hattingh, Ilze (ASU)       	1,6,7,5,6,0    	1	2:06	564450	414211	505
8828		(completed)  	FUR 	Kozarov, Katarina (FUR)      	UGA  	Kowalski, Meg (UGA)        	5,7,4,6        	2	2:03	423350	487384	506
8829		(completed)  	AUB 	Ovunc, Selin (AU)            	MIZZ 	Murgett, Bronte (MIZ)      	3,6,7,5,6,2    	1	1:55	514698	526971	507
8830		(completed)  	IOWA	Noel, Alexa (IA)             	LSU  	Corley, Paris (LSU)        	6,1,3,6,5,7    	2	2:28	564451	486238	508
8831		(completed)  	WAKE	Campana, Anna (WF)           	OKST 	Thamchaiwat, Bunyawi (OKS) 	5,7,2,6        	2	2:00	509929	497414	509
8832		(completed)  	NCST	Rogers, Anna (NCS)           	UMD  	Akli, Ayana (MD)           	6,2,4,6,6,4    	1	2:05	446522	514025	510
8833		(completed)  	DUKE	Drummy, Georgia (DUK)        	MICH 	Miller, Kari (MI)          	6,2,6,4        	1	1:09	564359	564380	511
8834		(completed)  	UGA 	Jokic, Katarina (UGA)        	ORE  	Tjen, Janice (ORE)         	1,6,4,6        	2	1:22	419539	565743	512
8835		(completed)  	SCAR	Horvit, Mia (SC)             	MSST 	Antonaki, Emma (MST)       	7,6,2,4,6,4,6  	2	2:48	416702	486811	513
8836		(completed)  	UCLA	Forbes, Abigail (CLA)        	OSU  	Cantos Siemers, Irina (OSU)	6,3,6,4        	1	1:24	512054	511553	514
8837		(completed)  	UVA 	Subhash, Natasha (UVA)       	UNC  	Graham, Alexa (UNC)        	7,6,6,0,6,1,6  	2	2:17	511574	411298	515
8838		(completed)  	MIA 	Perez-Somarriba, Estela (MIA)	TEX  	Stearns, Peyton (TEX)      	6,2,6,4        	1	1:38	440887	562074	516
8889		(completed)  	UNC 	Daavettila, Sara (UNC)       	PEPP 	Failla, Jessica (PEP)      	6,3,6,2        	1	1:30	400079	405704	601
8890		(completed)  	DUKE	Chen, Kelly (DUK)            	VANDY	Rosca, Christina (VU)      	6,4,4,6,2,6    	2	2:27	396686	446912	602
8891		(completed)  	UVA 	Navarro, Emma (UVA)          	UGA  	Kowalski, Meg (UGA)        	6,1,6,1        	1	1:03	564450	487384	603
8892		(completed)  	AUB 	Ovunc, Selin (AU)            	LSU  	Corley, Paris (LSU)        	4,6,0,6        	2	1:13	514698	486238	604
8893		(completed)  	NCST	Rogers, Anna (NCS)           	OKST 	Thamchaiwat, Bunyawi (OKS) 	5,7,6,4,6,1    	1	2:38	446522	497414	605
8894		(completed)  	DUKE	Drummy, Georgia (DUK)        	ORE  	Tjen, Janice (ORE)         	2,6,4,6        	2	1:12	564359	565743	606
8895		(completed)  	UCLA	Forbes, Abigail (CLA)        	MSST 	Antonaki, Emma (MST)       	6,3,6,3        	1	1:09	512054	486811	607
8896		(completed)  	MIA 	Perez-Somarriba, Estela (MIA)	UNC  	Graham, Alexa (UNC)        	6,3,6,3        	1	1:35	440887	411298	608
8913		(completed)  	UNC 	Daavettila, Sara (UNC)       	VANDY	Rosca, Christina (VU)      	6,2,6,4        	1	1:31	400079	446912	701
8914		(completed)  	UVA 	Navarro, Emma (UVA)          	LSU  	Corley, Paris (LSU)        	6,2,6,1        	1	1:03	564450	486238	702
8915		(completed)  	NCST	Rogers, Anna (NCS)           	ORE  	Tjen, Janice (ORE)         	2,6,3,6        	2	1:07	446522	565743	703
8916		(in progress)	MIA 	Perez-Somarriba, Estela (MIA)	UCLA 	Forbes, Abigail (CLA)      	6,7,5,0,3      	0	1:31	440887	512054	704
